VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1,2020-01-01 00:41:50,2020-01-01 01:00:20,N,1,167,41,1,3.40,14.5,0.5,0.5,0,0,,0.3,15.8,4,1,0
2,2020-01-01 00:14:07,2020-01-01 00:24:32,N,1,82,92,2,2.55,10,0.5,0.5,0,0,,0.3,11.3,2,1,0
2,2020-01-01 00:43:33,2020-01-01 00:44:02,N,5,264,264,1,.28,5.55,0,0,10,0,,0,15.55,1,2,0
2,2020-01-01 00:35:29,2020-01-01 00:38:00,N,1,223,223,1,.29,3.5,0.5,0.5,0.96,0,,0.3,5.76,1,1,0
2,2020-01-01 00:13:38,2020-01-01 00:23:22,N,1,42,151,1,2.02,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
2,2020-01-01 00:26:48,2020-01-01 00:36:57,N,1,166,74,1,1.62,9,0.5,0.5,0,0,,0.3,10.3,2,1,0
2,2020-01-01 00:46:58,2020-01-01 00:58:53,N,1,41,42,1,1.95,9.5,0.5,0.5,0,0,,0.3,10.8,1,1,0
2,2020-01-01 00:48:49,2020-01-01 01:01:52,N,1,134,129,2,7.53,22,0.5,0.5,0,0,,0.3,23.3,2,1,0
2,2020-01-01 00:32:00,2020-01-01 00:49:06,N,1,181,256,1,3.48,14,0.5,0.5,3.06,0,,0.3,18.36,1,1,0
2,2020-01-01 00:49:54,2020-01-01 01:03:35,N,1,256,260,1,5.85,18,0.5,0.5,4.82,0,,0.3,24.12,1,1,0
2,2020-01-01 00:10:05,2020-01-01 00:13:54,N,1,243,243,1,.75,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,0
1,2020-01-01 00:19:52,2020-01-01 00:23:32,N,1,42,42,1,.40,4,0.5,0.5,0,0,,0.3,5.3,2,1,0
2,2020-01-01 00:04:20,2020-01-01 00:10:51,N,1,82,56,1,1.58,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
2,2020-01-01 00:31:21,2020-01-01 00:37:57,N,1,82,129,3,1.20,6.5,0.5,0.5,0,0,,0.3,7.8,2,1,0
2,2020-01-01 00:39:35,2020-01-01 00:56:22,N,1,7,263,1,4.47,15.5,0.5,0.5,2.93,0,,0.3,22.48,1,1,2.75
1,2020-01-01 00:20:15,2020-01-01 00:32:41,N,1,181,80,1,4.30,14.5,0.5,0.5,2.5,0,,0.3,18.3,1,1,0
1,2020-01-01 00:47:38,2020-01-01 01:12:17,N,1,65,237,2,8.10,25,3.25,0.5,0,0,,0.3,29.05,2,1,2.75
2,2020-01-01 00:05:55,2020-01-01 00:12:05,N,1,223,7,1,1.13,6.5,0.5,0.5,0,0,,0.3,7.8,2,1,0
1,2020-01-01 00:06:13,2020-01-01 00:13:12,N,1,166,152,3,1.30,7,0.5,0.5,0,0,,0.3,8.3,2,1,0
1,2020-01-01 00:21:57,2020-01-01 00:31:48,N,1,166,239,2,1.70,9,3.25,0.5,3.25,0,,0.3,16.3,1,1,2.75
1,2020-01-01 00:48:03,2020-01-01 01:03:28,N,1,166,236,2,2.80,13,3.25,0.5,3,0,,0.3,20.05,1,1,2.75
2,2020-01-01 00:08:42,2020-01-01 00:13:22,N,1,41,43,1,.54,4.5,0.5,0.5,0,0,,0.3,5.8,2,1,0
2,2020-01-01 00:14:14,2020-01-01 00:31:15,N,1,43,162,1,3.63,14.5,0.5,0.5,3.71,0,,0.3,22.26,1,1,2.75
2,2020-01-01 00:58:57,2020-01-01 01:07:46,N,1,75,238,1,1.77,8.5,0.5,0.5,1.96,0,,0.3,11.76,1,1,0
2,2020-01-01 00:56:51,2020-01-01 01:16:59,N,5,33,164,5,6.00,75,0,0,0.05,0,,0.3,78.1,1,2,2.75
2,2020-01-01 00:31:26,2020-01-01 00:41:09,N,1,52,228,1,2.56,10,0.5,0.5,2.82,0,,0.3,14.12,1,1,0
2,2020-01-01 00:48:55,2020-01-01 01:02:08,N,1,181,89,1,2.61,12,0.5,0.5,3.32,0,,0.3,16.62,1,1,0
2,2020-01-01 00:48:00,2020-01-01 01:06:30,N,1,256,146,1,3.62,15.5,0.5,0.5,3.36,0,,0.3,20.16,1,1,0
1,2020-01-01 00:25:52,2020-01-01 00:31:45,N,1,41,238,1,1.60,7,3.25,0.5,0,0,,0.3,11.05,2,1,2.75
2,2020-01-01 00:13:07,2020-01-01 00:18:36,N,1,41,42,1,.84,5,0.5,0.5,0,0,,0.3,6.3,2,1,0
2,2020-01-01 00:24:57,2020-01-01 00:30:15,N,1,42,42,1,.75,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,0
2,2020-01-01 00:42:03,2020-01-01 01:18:12,N,1,41,25,1,11.41,37,0.5,0.5,5,0,,0.3,46.05,1,1,2.75
2,2020-01-01 00:43:11,2020-01-01 00:59:31,N,1,116,42,2,1.79,12,0.5,0.5,0,0,,0.3,13.3,2,1,0
1,2020-01-01 00:52:35,2020-01-01 00:57:35,N,1,82,129,1,.60,5,0.5,0.5,0,0,,0.3,6.3,2,1,0
2,2020-01-01 00:58:09,2020-01-01 01:10:29,N,1,260,7,1,1.95,9.5,0.5,0.5,0,0,,0.3,10.8,2,1,0
